,ExperimentID,ResultSetIDs,ContrastIDs,ExperimentIDs,FactorCategory,ExperimentalFactors,BaselineFactors,Subsetted,SubsetBy,Include,WrongBaseline,ResultsNotRegionSpecific,ReAnalyze,LooksGood
36,GSE242354,576682,232809,31805,organism part,lung,adrenal gland,FALSE,NA,N,N,Y,Y,Needs re-analysis - needs to be subsetted to just hippocampus
37,GSE242354,576682,232816,31805,organism part,white adipose tissue,adrenal gland,FALSE,NA,N,N,Y,Y,Needs re-analysis - needs to be subsetted to just hippocampus
38,GSE242354,576682,232804,31805,organism part,heart,adrenal gland,FALSE,NA,N,N,Y,Y,Needs re-analysis - needs to be subsetted to just hippocampus
39,GSE242354,576682,232811,31805,organism part,small intestine,adrenal gland,FALSE,NA,N,N,Y,Y,Needs re-analysis - needs to be subsetted to just hippocampus
40,GSE242354,576682,232814,31805,organism part,vastus lateralis,adrenal gland,FALSE,NA,N,N,Y,Y,Needs re-analysis - needs to be subsetted to just hippocampus
41,GSE242354,576682,232813,31805,organism part,testis,adrenal gland,FALSE,NA,N,N,Y,Y,Needs re-analysis - needs to be subsetted to just hippocampus
42,GSE242354,576682,232817,31805,organism part,blood,adrenal gland,FALSE,NA,N,N,Y,Y,Needs re-analysis - needs to be subsetted to just hippocampus
43,GSE242354,576682,232800,31805,organism part,brown adipose tissue,adrenal gland,FALSE,NA,N,N,Y,Y,Needs re-analysis - needs to be subsetted to just hippocampus
44,GSE208615,572275,232846,27029,treatment,"exercise delivered for duration 14 d, exercise delivered for duration 2 d and with reintroduction, sedentary delay period delivered for duration 7 d; exercise delivered for duration 14 d, exercise delivered for duration 2 d and with reintroduction, sedentary delay period delivered for duration 7 d; exercise delivered for duration 14 d, exercise delivered for duration 2 d and with reintroduction, sedentary delay period delivered for duration 7 d; exercise delivered for duration 14 d, exercise delivered for duration 2 d and with reintroduction, sedentary delay period delivered for duration 7 d",reference subject role,FALSE,NA,M,N,,M,Maybe worth re-analyzing??? We may want to decide whether we want to keep all of the exercise groups
45,GSE208615,572275,232843,27029,treatment,exercise delivered for duration 14 d and with initial; exercise delivered for duration 14 d and with initial,reference subject role,FALSE,NA,M,N,,M,Maybe worth re-analyzing??? We may want to decide whether we want to keep all of the exercise groups
46,GSE208615,572275,232845,27029,treatment,"exercise delivered for duration 14 d and with initial, sedentary delay period delivered for duration 7 d; exercise delivered for duration 14 d and with initial, sedentary delay period delivered for duration 7 d; exercise delivered for duration 14 d and with initial, sedentary delay period delivered for duration 7 d",reference subject role,FALSE,NA,M,N,,M,Maybe worth re-analyzing??? We may want to decide whether we want to keep all of the exercise groups
47,GSE208615,572275,232844,27029,treatment,"exercise delivered for duration 14 d, sedentary delay period delivered for duration 14 d and with initial; exercise delivered for duration 14 d, sedentary delay period delivered for duration 14 d and with initial; exercise delivered for duration 14 d, sedentary delay period delivered for duration 14 d and with initial",reference subject role,FALSE,NA,M,N,,M,Maybe worth re-analyzing??? We may want to decide whether we want to keep all of the exercise groups
48,GSE208615,572275,232842,27029,treatment,exercise delivered for duration 2 d and with reintroduction; exercise delivered for duration 2 d and with reintroduction,reference subject role,FALSE,NA,M,N,,M,Maybe worth re-analyzing??? We may want to decide whether we want to keep all of the exercise groups
49,GSE203554,556298,204375,24954,treatment,BCI-838 delivered at dose 28 x 5 mg/kg,reference substance role,FALSE,NA,N,N,,Y,Needs re-analysis - Unbalanced design
50,GSE203554,556299,204372,24954,treatment,exercise delivered for duration 1 month,reference substance role,FALSE,NA,N,N,,Y,Needs re-analysis - Unbalanced design
51,GSE203554,556300,204371,24954,strain,APP/PS1,C57BL/6J has role control,FALSE,NA,N,N,,Y,Needs re-analysis - Unbalanced design
52,GSE111212,515554,185768,21103,treatment,exercise,reference substance role,FALSE,NA,Y,N,,N,Looks good. Developmental stage just means adult age
53,GSE111212,515553,185767,21103,developmental stage,20 month  late adult stage,5 month  prime adult stage,FALSE,NA,N,N,,N,Looks good. Developmental stage just means adult age
54,GSE111212,515552,185767_185768,21103,"developmental stage,treatment",20 month  late adult stage; exercise,,FALSE,NA,N,N,,N,Looks good. Developmental stage just means adult age
55,GSE132930,539750,157239,15735,organism part,Ammon's horn,cerebral cortex,FALSE,NA,N,N,,Y,Needs re-analysis - needs to be subsetted to just hippocampus
56,GSE132930,539751,157241,15735,treatment,running,sedentary,FALSE,NA,N,N,,Y,Needs re-analysis - needs to be subsetted to just hippocampus
57,GSE132930,539752,157236,15735,developmental stage,1 year  prime adult stage,1 month  infant stage,FALSE,NA,N,N,,Y,Needs re-analysis - needs to be subsetted to just hippocampus
58,GSE123582,519225,166917,14901,treatment,"F2, born from a sedentary father; F2, born from a sedentary father","F1, active; F1, active",FALSE,NA,N,Y,,N,Looks good. Wrong reference level so we will need to flip the sign on the direction of effect for F1 sendentary vs. F1 active
59,GSE123582,519225,166919,14901,treatment,"F1, sedentary ; F1, sedentary ","F1, active; F1, active",FALSE,NA,Y,Y,,N,Looks good. Wrong reference level so we will need to flip the sign on the direction of effect for F1 sendentary vs. F1 active
60,GSE123582,519225,166916,14901,treatment,"F2, born from an exercised father; F2, born from an exercised father","F1, active; F1, active",FALSE,NA,N,Y,,N,Looks good. Wrong reference level so we will need to flip the sign on the direction of effect for F1 sendentary vs. F1 active
61,GSE124954,494134,167849,15095,genotype,Homozygous negative  Creb1 [mouse] cAMP responsive element binding protein 1,wild type genotype,TRUE,dentate gyrus of hippocampal formation located in dorsal,N,N,,N,Looks good - the interaction model means that the main treatment output is centered on the wild type animals
62,GSE124954,494134,167848,15095,genotype,Heterozygous  Creb1 [mouse] cAMP responsive element binding protein 1,wild type genotype,TRUE,dentate gyrus of hippocampal formation located in dorsal,N,N,,N,Looks good - the interaction model means that the main treatment output is centered on the wild type animals
63,GSE124954,494133,167849_167854,15095,"genotype,treatment",Homozygous negative  Creb1 [mouse] cAMP responsive element binding protein 1; exercise,wild type genotype; reference subject role,TRUE,dentate gyrus of hippocampal formation located in dorsal,N,N,,N,Looks good - the interaction model means that the main treatment output is centered on the wild type animals
64,GSE124954,494133,167848_167854,15095,"genotype,treatment",Heterozygous  Creb1 [mouse] cAMP responsive element binding protein 1; exercise,wild type genotype; reference subject role,TRUE,dentate gyrus of hippocampal formation located in dorsal,N,N,,N,Looks good - the interaction model means that the main treatment output is centered on the wild type animals
65,GSE124954,494132,167854,15095,treatment,exercise,reference subject role,TRUE,dentate gyrus of hippocampal formation located in dorsal,Y,N,,N,Looks good - the interaction model means that the main treatment output is centered on the wild type animals
66,GSE124954,494137,167849,15095,genotype,Homozygous negative  Creb1 [mouse] cAMP responsive element binding protein 1,wild type genotype,TRUE,dentate gyrus of hippocampal formation located in ventral,N,N,,N,Looks good - the interaction model means that the main treatment output is centered on the wild type animals
67,GSE124954,494137,167848,15095,genotype,Heterozygous  Creb1 [mouse] cAMP responsive element binding protein 1,wild type genotype,TRUE,dentate gyrus of hippocampal formation located in ventral,N,N,,N,Looks good - the interaction model means that the main treatment output is centered on the wild type animals
68,GSE124954,494136,167849_167854,15095,"genotype,treatment",Homozygous negative  Creb1 [mouse] cAMP responsive element binding protein 1; exercise,wild type genotype; reference subject role,TRUE,dentate gyrus of hippocampal formation located in ventral,N,N,,N,Looks good - the interaction model means that the main treatment output is centered on the wild type animals
69,GSE124954,494136,167848_167854,15095,"genotype,treatment",Heterozygous  Creb1 [mouse] cAMP responsive element binding protein 1; exercise,wild type genotype; reference subject role,TRUE,dentate gyrus of hippocampal formation located in ventral,N,N,,N,Looks good - the interaction model means that the main treatment output is centered on the wild type animals
70,GSE124954,494135,167854,15095,treatment,exercise,reference subject role,TRUE,dentate gyrus of hippocampal formation located in ventral,Y,N,,N,Looks good - the interaction model means that the main treatment output is centered on the wild type animals
71,GSE124954,494140,167849,15095,genotype,Homozygous negative  Creb1 [mouse] cAMP responsive element binding protein 1,wild type genotype,TRUE,visual cortex,N,N,,N,Looks good - the interaction model means that the main treatment output is centered on the wild type animals
72,GSE124954,494140,167848,15095,genotype,Heterozygous  Creb1 [mouse] cAMP responsive element binding protein 1,wild type genotype,TRUE,visual cortex,N,N,,N,Looks good - the interaction model means that the main treatment output is centered on the wild type animals
73,GSE124954,494139,167849_167854,15095,"genotype,treatment",Homozygous negative  Creb1 [mouse] cAMP responsive element binding protein 1; exercise,wild type genotype; reference subject role,TRUE,visual cortex,N,N,,N,Looks good - the interaction model means that the main treatment output is centered on the wild type animals
74,GSE124954,494139,167848_167854,15095,"genotype,treatment",Heterozygous  Creb1 [mouse] cAMP responsive element binding protein 1; exercise,wild type genotype; reference subject role,TRUE,visual cortex,N,N,,N,Looks good - the interaction model means that the main treatment output is centered on the wild type animals
75,GSE124954,494138,167854,15095,treatment,exercise,reference subject role,TRUE,visual cortex,N,N,,N,Looks good - the interaction model means that the main treatment output is centered on the wild type animals
76,GSE96961,536509,143308,13756,treatment,enriched environment,reference subject role,FALSE,NA,Y,N,,N,Looks good - the interaction model means that the main treatment output is centered on the wild type animals
77,GSE96961,536507,143304_143308,13756,"genotype,treatment","Overexpression of  SNCA [human] synuclein, alpha (non A4 component of amyloid precursor); enriched environment",,FALSE,NA,N,N,,N,Looks good - the interaction model means that the main treatment output is centered on the wild type animals
78,GSE96961,536508,143304,13756,genotype,"Overexpression of  SNCA [human] synuclein, alpha (non A4 component of amyloid precursor)",wild type genotype,FALSE,NA,N,N,,N,Looks good - the interaction model means that the main treatment output is centered on the wild type animals
79,GSE95740,523781,142724_142722,13175,"organism part,treatment",dentate gyrus of hippocampal formation with ventral; enriched environment,,FALSE,NA,N,N,Y,N,Looks good - organism part is just dorsal vs. ventral dentate gyrus 
80,GSE95740,523780,142722,13175,treatment,enriched environment,reference substance role,FALSE,NA,Y,N,Y,N,Looks good - organism part is just dorsal vs. ventral dentate gyrus 
81,GSE95740,523779,142724,13175,organism part,dentate gyrus of hippocampal formation with ventral,dentate gyrus of hippocampal formation with dorsal,FALSE,NA,N,N,Y,N,Looks good - organism part is just dorsal vs. ventral dentate gyrus 
82,GSE29075,542064,80409,4667,treatment,exercise,reference subject role,FALSE,NA,Y,N,,N,Looks good - timepoint actually means adult age
83,GSE29075,542065,80408,4667,age,18 month,3.5 month,FALSE,NA,N,N,,N,Looks good - timepoint actually means adult age
84,GSE29075,542066,80408_80409,4667,"age,treatment",18 month; exercise,,FALSE,NA,N,N,,N,Looks good - timepoint actually means adult age
85,GSE36571,531360,151481,15191,treatment,exercise,inactive has role reference subject role,FALSE,NA,N,N,,Y,Needs re-analysis - unbalanced design
86,GSE36571,531361,151479,15191,strain,SAM resistant mice,senescence-accelerated prone 8 (SAMP8) mouse,FALSE,NA,N,N,,Y,Needs re-analysis - unbalanced design
87,GSE30880,512220,138704,12214,genotype,Heterozygous  Crebbp [mouse] CREB binding protein,wild type genotype,FALSE,NA,N,N,,N,Looks good - the interaction model means that the effect of enrichment is centered on the wild type mice
88,GSE30880,512222,138706,12214,treatment,enriched environment,reference subject role,FALSE,NA,Y,N,,N,Looks good - the interaction model means that the effect of enrichment is centered on the wild type mice
89,GSE30880,512221,138704_138706,12214,"genotype,treatment",Heterozygous  Crebbp [mouse] CREB binding protein; enriched environment,wild type genotype; reference subject role,FALSE,NA,N,N,,N,Looks good - the interaction model means that the effect of enrichment is centered on the wild type mice
90,GSE208714,558731,211427,26364,treatment,exercise delivered for duration 3 min,reference subject role,TRUE,Ammon's horn located in dorsal and located in left; Ammon's horn located in dorsal and located in left,N,N,,Y,Unbalanced design - Needs re-analysis
91,GSE208714,558731,211423,26364,treatment,exercise delivered for duration 10 min,reference subject role,TRUE,Ammon's horn located in dorsal and located in left; Ammon's horn located in dorsal and located in left,N,N,,Y,Unbalanced design - Needs re-analysis
92,GSE208714,558732,211424,26364,developmental stage,P21 - P41  sexually immature stage,P35 - P41  sexually immature stage,TRUE,Ammon's horn located in dorsal and located in left; Ammon's horn located in dorsal and located in left,N,N,,Y,Unbalanced design - Needs re-analysis
93,GSE208714,558732,211425,26364,developmental stage,P21 - P27  sexually immature stage,P35 - P41  sexually immature stage,TRUE,Ammon's horn located in dorsal and located in left; Ammon's horn located in dorsal and located in left,N,N,,Y,Unbalanced design - Needs re-analysis
94,GSE197754,557135,207422,25952,treatment,enriched environment (EE),reference substance role,FALSE,NA,Y,N,Y,N,Looks good
95,GSE111271,513628,185729_185732,21099,"developmental stage,treatment",5 month  prime adult stage; enriched environment,24 month  late adult stage; reference substance role,FALSE,NA,N,N,Y,N,Looks good
96,GSE111271,513627,185729,21099,developmental stage,5 month  prime adult stage,24 month  late adult stage,FALSE,NA,N,N,Y,N,Looks good
97,GSE111271,513629,185732,21099,treatment,enriched environment,reference substance role,FALSE,NA,Y,N,Y,N,Looks good
98,GSE111270,523257,185743,21100,treatment,enriched environment,reference substance role,FALSE,NA,Y,N,Y,N,Looks good
99,GSE111270,523256,185741,21100,developmental stage,24 month  late adult stage,5 month  prime adult stage,FALSE,NA,N,N,Y,N,Looks good
100,GSE111270,523255,185741_185743,21100,"developmental stage,treatment",24 month  late adult stage; enriched environment,,FALSE,NA,N,N,Y,N,Looks good
101,GSE111215,534679,185751,21101,developmental stage,24 month  late adult stage,5 month  prime adult stage,FALSE,NA,N,N,Y,N,Looks good
102,GSE111215,534680,185753,21101,treatment,enriched environment,reference substance role,FALSE,NA,Y,N,Y,N,Looks good
103,GSE111215,534681,185751_185753,21101,"developmental stage,treatment",24 month  late adult stage; enriched environment,5 month  prime adult stage; reference substance role,FALSE,NA,N,N,Y,N,Looks good
104,GSE184615,533250,183234_183236,20373,"treatment,treatment",ethanol delivered at dose 2 x 2.5 g/kg; enrichment,reference substance role; reference substance role,FALSE,NA,N,N,Y,N,Looks good - interaction model centered on reference group (not fetal alcohol group)
105,GSE184615,533251,183234,20373,treatment,ethanol delivered at dose 2 x 2.5 g/kg,reference substance role,FALSE,NA,N,N,Y,N,Looks good - interaction model centered on reference group (not fetal alcohol group)
106,GSE184615,533252,183236,20373,treatment,enrichment,reference substance role,FALSE,NA,Y,N,Y,N,Looks good - interaction model centered on reference group (not fetal alcohol group)
107,GSE179081,522200,183728_183730,20567,"genotype,treatment",Homozygous negative  Btg1 [mouse] BTG anti-proliferation factor 1; physical activity derived from voluntary running,,FALSE,NA,N,N,N,N,Looks good - interaction model centered on wild type mice
108,GSE179081,522199,183730,20567,treatment,physical activity derived from voluntary running,reference subject role,FALSE,NA,Y,N,N,N,Looks good - interaction model centered on wild type mice
109,GSE179081,522198,183728,20567,genotype,Homozygous negative  Btg1 [mouse] BTG anti-proliferation factor 1,wild type genotype,FALSE,NA,N,N,N,N,Looks good - interaction model centered on wild type mice
110,GSE142678,520521,171381,17592,organism part,dentate gyrus of hippocampal formation,immature neurons in dentate gyrus,FALSE,NA,N,N,N,Y,Needs re-analysis to subset down to just whole dentate gyrus samples
111,GSE142678,520520,171380,17592,treatment,sedentary,running ,FALSE,NA,N,N,N,Y,Needs re-analysis to subset down to just whole dentate gyrus samples
112,GSE142678,520519,171380_171381,17592,"organism part,treatment",sedentary; dentate gyrus of hippocampal formation,,FALSE,NA,N,N,N,Y,Needs re-analysis to subset down to just whole dentate gyrus samples
113,GSE150812,520024,170622_170626,17351,"phenotype,treatment",enriched environment; resilient,reference subject role; reference subject role,FALSE,NA,N,N,N,N,Looks good. We might want to consider re-analyzing if we want to pull out the effects of enrichment in the stressed animals
114,GSE150812,520024,170622_170625,17351,"phenotype,treatment",enriched environment; susceptible,reference subject role; reference subject role,FALSE,NA,N,N,N,N,Looks good. We might want to consider re-analyzing if we want to pull out the effects of enrichment in the stressed animals
115,GSE150812,520023,170622,17351,treatment,enriched environment,reference subject role,FALSE,NA,Y,N,N,N,Looks good. We might want to consider re-analyzing if we want to pull out the effects of enrichment in the stressed animals
116,GSE150812,520022,170626,17351,phenotype,resilient,reference subject role,FALSE,NA,N,N,N,N,Looks good. We might want to consider re-analyzing if we want to pull out the effects of enrichment in the stressed animals
117,GSE150812,520022,170625,17351,phenotype,susceptible,reference subject role,FALSE,NA,N,N,N,N,Looks good. We might want to consider re-analyzing if we want to pull out the effects of enrichment in the stressed animals
118,GSE42904,480344,140986,12334,treatment,valpromide,reference substance role,TRUE,forebrain,N,N,N,Y,"Needs re-analysis - model includes tissue from embryos (?) as well as adults, unbalanced design, also why is there both 12 week and P84 aged animals??? typo??"
119,GSE42904,480344,140985,12334,treatment,valproic acid,reference substance role,TRUE,forebrain,N,N,N,Y,"Needs re-analysis - model includes tissue from embryos (?) as well as adults, unbalanced design, also why is there both 12 week and P84 aged animals??? typo??"
120,GSE42904,480346,140986,12334,treatment,valpromide,reference substance role,TRUE,cerebral cortex,N,N,N,Y,"Needs re-analysis - model includes tissue from embryos (?) as well as adults, unbalanced design, also why is there both 12 week and P84 aged animals??? typo??"
121,GSE42904,480346,140985,12334,treatment,valproic acid,reference substance role,TRUE,cerebral cortex,N,N,N,Y,"Needs re-analysis - model includes tissue from embryos (?) as well as adults, unbalanced design, also why is there both 12 week and P84 aged animals??? typo??"
122,GSE42904,480345,140988,12334,treatment,running wheel,reference subject role,TRUE,cerebral cortex,N,N,N,Y,"Needs re-analysis - model includes tissue from embryos (?) as well as adults, unbalanced design, also why is there both 12 week and P84 aged animals??? typo??"
123,GSE42904,480348,140986,12334,treatment,valpromide,reference substance role,TRUE,telencephalon,N,N,N,Y,"Needs re-analysis - model includes tissue from embryos (?) as well as adults, unbalanced design, also why is there both 12 week and P84 aged animals??? typo??"
124,GSE42904,480348,140985,12334,treatment,valproic acid,reference substance role,TRUE,telencephalon,N,N,N,Y,"Needs re-analysis - model includes tissue from embryos (?) as well as adults, unbalanced design, also why is there both 12 week and P84 aged animals??? typo??"
125,GSE42904,480351,140986,12334,treatment,valpromide,reference substance role,TRUE,Ammon's horn,N,N,N,Y,"Needs re-analysis - model includes tissue from embryos (?) as well as adults, unbalanced design, also why is there both 12 week and P84 aged animals??? typo??"
126,GSE42904,480351,140985,12334,treatment,valproic acid,reference substance role,TRUE,Ammon's horn,N,N,N,Y,"Needs re-analysis - model includes tissue from embryos (?) as well as adults, unbalanced design, also why is there both 12 week and P84 aged animals??? typo??"
127,GSE42904,480350,140988,12334,treatment,running wheel,reference subject role,TRUE,Ammon's horn,N,N,N,Y,"Needs re-analysis - model includes tissue from embryos (?) as well as adults, unbalanced design, also why is there both 12 week and P84 aged animals??? typo??"
128,GSE42904,480349,140979,12334,developmental stage,12 week,P84,TRUE,Ammon's horn,N,N,N,Y,"Needs re-analysis - model includes tissue from embryos (?) as well as adults, unbalanced design, also why is there both 12 week and P84 aged animals??? typo??"
129,GSE42904,480349,140976,12334,developmental stage,E14.5,P84,TRUE,Ammon's horn,N,N,N,Y,"Needs re-analysis - model includes tissue from embryos (?) as well as adults, unbalanced design, also why is there both 12 week and P84 aged animals??? typo??"
130,GSE42904,480349,140977,12334,developmental stage,E18.5,P84,TRUE,Ammon's horn,N,N,N,Y,"Needs re-analysis - model includes tissue from embryos (?) as well as adults, unbalanced design, also why is there both 12 week and P84 aged animals??? typo??"
131,GSE39697,548451,100980,8039,organism part,dentate gyrus granule cell layer inner blade,dentate gyrus granule cell layer outer blade,FALSE,NA,M,N,N,M,Maybe worth re-analyzing to average out the effects of inner and outer DG
132,GSE39697,548452,100978_100980,8039,"organism part,timepoint",physical activity delivered for duration 4 d; dentate gyrus granule cell layer inner blade,,FALSE,NA,M,N,N,M,Maybe worth re-analyzing to average out the effects of inner and outer DG
133,GSE39697,548452,100979_100980,8039,"organism part,timepoint",physical activity delivered for duration 30 d; dentate gyrus granule cell layer inner blade,,FALSE,NA,M,N,N,M,Maybe worth re-analyzing to average out the effects of inner and outer DG
134,GSE39697,548453,100978,8039,timepoint,physical activity delivered for duration 4 d,reference subject role,FALSE,NA,M,N,N,M,Maybe worth re-analyzing to average out the effects of inner and outer DG
135,GSE39697,548453,100979,8039,timepoint,physical activity delivered for duration 30 d,reference subject role,FALSE,NA,M,N,N,M,Maybe worth re-analyzing to average out the effects of inner and outer DG
136,GSE1833,535140,17283,862,environmental history,environmental enrichment,reference subject role,FALSE,NA,Y,N,Y,N,"Looks good - model includes an interaction term, so effects of enrichment are centered on the non-kainate treated animals"
137,GSE1833,535141,17287,862,treatment,kainic acid,reference substance role,FALSE,NA,N,N,Y,N,"Looks good - model includes an interaction term, so effects of enrichment are centered on the non-kainate treated animals"
